"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sun Nov 02 03:08:08 UTC 2025","Sun Nov 02 03:08:08 UTC 2025","0","tests","test_intel_gpu_accelerator","TestIntelGPUAccelerator","","","test_h2d_latency",""
"skipped","Sun Nov 02 03:08:23 UTC 2025","Sun Nov 02 03:08:23 UTC 2025","0","tests","test_nvidia_real_gpu","TestRealNvidiaGPU","","","test_tensor_core_gemm","Benchmark FP16 matrix multiplication using Tensor Cores."
"skipped","Sun Nov 02 03:08:24 UTC 2025","Sun Nov 02 03:08:24 UTC 2025","0","tests","test_nvidia_real_gpu","TestRealNvidiaGPU","","","test_cnn_forward_throughput","Benchmark ResNet-like CNN forward throughput."
"passed","Sun Nov 02 03:07:08 UTC 2025","Sun Nov 02 03:07:14 UTC 2025","5417","tests","test_gpu_matrix_mul","","","","test_matrix_multiplication","Benchmark dense matrix multiplication."
"skipped","Sun Nov 02 03:08:09 UTC 2025","Sun Nov 02 03:08:09 UTC 2025","0","tests","test_intel_gpu_accelerator","TestIntelGPUAccelerator","","","test_opencl_kernel_execution",""
"skipped","Sun Nov 02 03:08:13 UTC 2025","Sun Nov 02 03:08:13 UTC 2025","1","tests","test_multi_gpu","","","","test_cuml_linear_regression",""
"passed","Sun Nov 02 03:07:24 UTC 2025","Sun Nov 02 03:07:26 UTC 2025","1930","tests","test_gpu_model_inference","","","","Inference Load (Batch 1024) - FPS: 127454.61",""
"passed","Sun Nov 02 03:06:54 UTC 2025","Sun Nov 02 03:06:56 UTC 2025","2303","tests","test_gpu_compute","","","","test_tensor_operations_benchmark","Benchmark GPU tensor arithmetic (element-wise ops)."
"passed","Sun Nov 02 03:06:39 UTC 2025","Sun Nov 02 03:06:39 UTC 2025","1","tests","test_cpu_benchmark","","","","test_cpu_matrix_arithmetic",""
"skipped","Sun Nov 02 03:06:31 UTC 2025","Sun Nov 02 03:06:31 UTC 2025","0","tests","test_amd_gpu_accelerator","TestAmdGPUAccelerator","","","test_cnn_forward_throughput",""
"skipped","Sun Nov 02 03:06:33 UTC 2025","Sun Nov 02 03:06:33 UTC 2025","1","tests","test_amd_gpu_accelerator","TestAmdGPUAccelerator","","","test_gpu_cpu_transfer_bandwidth",""
"skipped","Sun Nov 02 03:08:15 UTC 2025","Sun Nov 02 03:08:15 UTC 2025","2","tests","test_multi_gpu","","","","test_tensorflow_multi_gpu_train",""
"skipped","Sun Nov 02 03:08:19 UTC 2025","Sun Nov 02 03:08:19 UTC 2025","0","tests","test_nvidia_gpu_accelerator","TestNvidiaGPUAccelerator","","","test_multi_gpu_p2p_bandwidth","Benchmark P2P memory copy between two GPUs (requires NVLink/PCIe link)."
"skipped","Sun Nov 02 03:06:32 UTC 2025","Sun Nov 02 03:06:32 UTC 2025","0","tests","test_amd_gpu_accelerator","TestAmdGPUAccelerator","","","test_transformer_encoder_latency",""
"skipped","Sun Nov 02 03:08:07 UTC 2025","Sun Nov 02 03:08:07 UTC 2025","0","tests","test_intel_gpu_accelerator","TestIntelGPUAccelerator","","","test_fp32_gemm_throughput",""
"passed","Sun Nov 02 03:06:40 UTC 2025","Sun Nov 02 03:06:40 UTC 2025","783","tests","test_cpu_reference","","","","CPU Baseline: 2048x2048 Matmul (0.0 GFLOPS/s)",""
"skipped","Sun Nov 02 03:06:50 UTC 2025","Sun Nov 02 03:06:50 UTC 2025","0","tests","test_directml_gpu_accelerator","TestDirectMLAccelerator","","","test_transformer_latency",""
"skipped","Sun Nov 02 03:08:09 UTC 2025","Sun Nov 02 03:08:09 UTC 2025","0","tests","test_intel_gpu_accelerator","TestIntelGPUAccelerator","","","test_kernel_launch_overhead",""
"skipped","Sun Nov 02 03:08:22 UTC 2025","Sun Nov 02 03:08:22 UTC 2025","0","tests","test_nvidia_gpu_accelerator","TestNvidiaGPUAccelerator","","","test_concurrent_kernel_streams","Benchmark concurrent execution using multiple CUDA streams."
"skipped","Sun Nov 02 03:06:34 UTC 2025","Sun Nov 02 03:06:34 UTC 2025","0","tests","test_amd_gpu_accelerator","TestAmdGPUAccelerator","","","test_vram_fragmentation_stability",""
"skipped","Sun Nov 02 03:06:34 UTC 2025","Sun Nov 02 03:06:34 UTC 2025","0","tests","test_amd_gpu_accelerator","TestAmdGPUAccelerator","","","test_mixed_precision_bf16_speedup",""
"passed","Sun Nov 02 03:06:38 UTC 2025","Sun Nov 02 03:06:38 UTC 2025","1","tests","test_cpu_benchmark","","","","test_cpu_fibonacci_benchmark",""
"skipped","Sun Nov 02 03:06:49 UTC 2025","Sun Nov 02 03:06:49 UTC 2025","0","tests","test_directml_gpu_accelerator","TestDirectMLAccelerator","","","test_fp16_gemm",""
"passed","Sun Nov 02 03:08:00 UTC 2025","Sun Nov 02 03:08:03 UTC 2025","2544","tests","test_inference_load","","","","test_inference_load[512]",""
"passed","Sun Nov 02 03:06:36 UTC 2025","Sun Nov 02 03:06:36 UTC 2025","48","tests","test_cpu_benchmark","","","","test_cpu_sorting_benchmark",""
"skipped","Sun Nov 02 03:06:35 UTC 2025","Sun Nov 02 03:06:35 UTC 2025","0","tests","test_amd_gpu_accelerator","TestAmdGPUAccelerator","","","test_end_to_end_inference_throughput",""
"skipped","Sun Nov 02 03:08:21 UTC 2025","Sun Nov 02 03:08:21 UTC 2025","0","tests","test_nvidia_gpu_accelerator","TestNvidiaGPUAccelerator","","","test_distributeddataparallel_step","Benchmark a DDP training step, testing NCCL all-reduce."
"skipped","Sun Nov 02 03:08:17 UTC 2025","Sun Nov 02 03:08:17 UTC 2025","0","tests","test_nvidia_gpu_accelerator","TestNvidiaGPUAccelerator","","","test_h2d_bandwidth","Benchmark Host-to-Device (CPU to GPU) memory copy bandwidth."
"skipped","Sun Nov 02 03:08:11 UTC 2025","Sun Nov 02 03:08:11 UTC 2025","0","tests","test_multi_gpu","","","","test_cudnn_conv_benchmark",""
"skipped","Sun Nov 02 03:08:17 UTC 2025","Sun Nov 02 03:08:17 UTC 2025","0","tests","test_nvidia_gpu_accelerator","TestNvidiaGPUAccelerator","","","test_d2d_bandwidth","Benchmark Device-to-Device (GPU to GPU) memory copy bandwidth."
"passed","Sun Nov 02 03:08:33 UTC 2025","Sun Nov 02 03:08:34 UTC 2025","629","tests","test_parallel_training","","","","test_parallel_training",""
"passed","Sun Nov 02 03:06:57 UTC 2025","Sun Nov 02 03:07:08 UTC 2025","10790","tests","test_gpu_convnet","","","","test_convnet_forward_pass","Benchmark simple CNN forward pass."
"skipped","Sun Nov 02 03:08:19 UTC 2025","Sun Nov 02 03:08:19 UTC 2025","0","tests","test_nvidia_gpu_accelerator","TestNvidiaGPUAccelerator","","","test_fp16_tensor_core_throughput","Benchmark FP16 Tensor Core performance (requires recent NVIDIA GPU)."
"skipped","Sun Nov 02 03:06:49 UTC 2025","Sun Nov 02 03:06:49 UTC 2025","0","tests","test_directml_gpu_accelerator","TestDirectMLAccelerator","","","test_cnn_forward",""
"passed","Sun Nov 02 03:06:43 UTC 2025","Sun Nov 02 03:06:47 UTC 2025","3163","tests","test_cpu_reference","","","","CPU Baseline: Sort (4194304 elements)",""
"skipped","Sun Nov 02 03:08:29 UTC 2025","Sun Nov 02 03:08:29 UTC 2025","0","tests","test_nvidia_tensorrt_cudnn","TestNvidiaTensorRTandCuDNN","","","test_cudnn_convolution_benchmark",""
"skipped","Sun Nov 02 03:08:20 UTC 2025","Sun Nov 02 03:08:20 UTC 2025","0","tests","test_nvidia_gpu_accelerator","TestNvidiaGPUAccelerator","","","test_multi_gpu_all_reduce_latency","Benchmark the latency of NCCL all-reduce operation."
"skipped","Sun Nov 02 03:06:30 UTC 2025","Sun Nov 02 03:06:30 UTC 2025","0","tests","test_amd_gpu_accelerator","TestAmdGPUAccelerator","","","test_fp16_gemm_throughput",""
"skipped","Sun Nov 02 03:06:52 UTC 2025","Sun Nov 02 03:06:52 UTC 2025","0","tests","test_directml_gpu_accelerator","TestDirectMLAccelerator","","","test_batchnorm_throughput",""
"skipped","Sun Nov 02 03:06:35 UTC 2025","Sun Nov 02 03:06:35 UTC 2025","0","tests","test_amd_gpu_accelerator","TestAmdGPUAccelerator","","","test_multi_gpu_scaling",""
"passed","Sun Nov 02 03:07:19 UTC 2025","Sun Nov 02 03:07:21 UTC 2025","1697","tests","test_gpu_model_inference","","","","Inference Load (Batch 128) - FPS: 59993.58",""
"skipped","Sun Nov 02 03:08:32 UTC 2025","Sun Nov 02 03:08:32 UTC 2025","0","tests","test_nvidia_tensorrt_cudnn","TestNvidiaTensorRTandCuDNN","","","test_cudnn_rnn_throughput",""
"skipped","Sun Nov 02 03:06:32 UTC 2025","Sun Nov 02 03:06:32 UTC 2025","0","tests","test_amd_gpu_accelerator","TestAmdGPUAccelerator","","","test_device_memory_bandwidth",""
"skipped","Sun Nov 02 03:08:22 UTC 2025","Sun Nov 02 03:08:22 UTC 2025","0","tests","test_nvidia_gpu_accelerator","TestNvidiaGPUAccelerator","","","test_max_vram_allocation","Attempt to allocate the maximum available VRAM to test stability and fragmentation."
"skipped","Sun Nov 02 03:08:11 UTC 2025","Sun Nov 02 03:08:11 UTC 2025","0","tests","test_multi_gpu","","","","test_cuda_tensorcore_mma",""
"skipped","Sun Nov 02 03:08:10 UTC 2025","Sun Nov 02 03:08:10 UTC 2025","0","tests","test_intel_gpu_accelerator","TestIntelGPUAccelerator","","","test_end_to_end_inference_throughput",""
"skipped","Sun Nov 02 03:08:28 UTC 2025","Sun Nov 02 03:08:28 UTC 2025","0","tests","test_nvidia_real_gpu","TestRealNvidiaGPU","","","test_rnn_gru_throughput","Benchmark a multi-layer GRU, common in sequence modeling."
"skipped","Sun Nov 02 03:08:12 UTC 2025","Sun Nov 02 03:08:12 UTC 2025","0","tests","test_multi_gpu","","","","test_amp_performance",""
"skipped","Sun Nov 02 03:08:31 UTC 2025","Sun Nov 02 03:08:31 UTC 2025","0","tests","test_nvidia_tensorrt_cudnn","TestNvidiaTensorRTandCuDNN","","","test_gnn_throughput","Benchmark a GNN layer, relying on underlying sparse-dense CUDA kernels."
"passed","Sun Nov 02 03:06:37 UTC 2025","Sun Nov 02 03:06:37 UTC 2025","3","tests","test_cpu_benchmark","","","","test_cpu_prime_benchmark",""
"skipped","Sun Nov 02 03:08:24 UTC 2025","Sun Nov 02 03:08:24 UTC 2025","0","tests","test_nvidia_real_gpu","TestRealNvidiaGPU","","","test_transformer_inference_latency","Simulate Transformer encoder forward latency."
"skipped","Sun Nov 02 03:07:19 UTC 2025","Sun Nov 02 03:07:19 UTC 2025","0","tests","test_gpu_mixed_precision","","","","test_mixed_precision_matmul","Benchmark matrix multiplication using mixed precision and track TFLOPS."
"passed","Sun Nov 02 03:07:15 UTC 2025","Sun Nov 02 03:07:18 UTC 2025","3023","tests","test_gpu_memory","","","","test_gpu_memory_allocation","Validate GPU memory allocation, cleanup, and capture memory usage."
"passed","Sun Nov 02 03:07:22 UTC 2025","Sun Nov 02 03:07:24 UTC 2025","1802","tests","test_gpu_model_inference","","","","Inference Load (Batch 512) - FPS: 106241.59",""
"skipped","Sun Nov 02 03:08:27 UTC 2025","Sun Nov 02 03:08:27 UTC 2025","0","tests","test_nvidia_real_gpu","TestRealNvidiaGPU","","","test_mixed_precision_speedup","Compare FP32 vs AMP performance on a CNN forward pass."
"skipped","Sun Nov 02 03:06:51 UTC 2025","Sun Nov 02 03:06:51 UTC 2025","0","tests","test_directml_gpu_accelerator","TestDirectMLAccelerator","","","test_memory_allocation",""
"skipped","Sun Nov 02 03:08:30 UTC 2025","Sun Nov 02 03:08:30 UTC 2025","0","tests","test_nvidia_tensorrt_cudnn","TestNvidiaTensorRTandCuDNN","","","test_tensorrt_inference_speedup",""
"skipped","Sun Nov 02 03:08:26 UTC 2025","Sun Nov 02 03:08:26 UTC 2025","0","tests","test_nvidia_real_gpu","TestRealNvidiaGPU","","","test_gpu_cpu_transfer_bandwidth","Measure GPU to CPU data transfer bandwidth."
"passed","Sun Nov 02 03:07:53 UTC 2025","Sun Nov 02 03:07:56 UTC 2025","3106","tests","test_idle_baseline","","","","test_idle_baseline",""
"skipped","Sun Nov 02 03:06:51 UTC 2025","Sun Nov 02 03:06:51 UTC 2025","0","tests","test_directml_gpu_accelerator","TestDirectMLAccelerator","","","test_tensor_add_bandwidth",""
"passed","Sun Nov 02 03:07:57 UTC 2025","Sun Nov 02 03:07:59 UTC 2025","2380","tests","test_inference_load","","","","test_inference_load[128]",""
"skipped","Sun Nov 02 03:08:28 UTC 2025","Sun Nov 02 03:08:28 UTC 2025","0","tests","test_nvidia_real_gpu","TestRealNvidiaGPU","","","test_sparse_embedding_lookup_speed","Benchmark sparse embedding lookups, common in recommender systems."
"skipped","Sun Nov 02 03:08:29 UTC 2025","Sun Nov 02 03:08:29 UTC 2025","0","tests","test_nvidia_real_gpu","TestRealNvidiaGPU","","","test_fft_throughput","Benchmark cuFFT by performing a large 3D FFT and collecting telemetry."
"skipped","Sun Nov 02 03:08:18 UTC 2025","Sun Nov 02 03:08:18 UTC 2025","0","tests","test_nvidia_gpu_accelerator","TestNvidiaGPUAccelerator","","","test_fp32_gemm_throughput","Benchmark FP32 GEMM performance (non-Tensor Core)."
"passed","Sun Nov 02 03:06:41 UTC 2025","Sun Nov 02 03:06:43 UTC 2025","1665","tests","test_cpu_reference","","","","CPU Baseline: Conv2D (512x512 Input, 64->128 Ch)",""
"passed","Sun Nov 02 03:08:03 UTC 2025","Sun Nov 02 03:08:06 UTC 2025","2714","tests","test_inference_load","","","","test_inference_load[1024]",""
"passed","Sun Nov 02 03:06:47 UTC 2025","Sun Nov 02 03:06:48 UTC 2025","73","tests","test_data_preprocessing","","","","test_data_preprocessing",""
"skipped","Sun Nov 02 03:08:26 UTC 2025","Sun Nov 02 03:08:26 UTC 2025","0","tests","test_nvidia_real_gpu","TestRealNvidiaGPU","","","test_dataloader_to_gpu_throughput","Benchmark data transfer from a parallel DataLoader to GPU."
"skipped","Sun Nov 02 03:08:31 UTC 2025","Sun Nov 02 03:08:31 UTC 2025","0","tests","test_nvidia_tensorrt_cudnn","TestNvidiaTensorRTandCuDNN","","","test_cudnn_fp32_matmul_benchmark",""
"skipped","Sun Nov 02 03:08:21 UTC 2025","Sun Nov 02 03:08:21 UTC 2025","0","tests","test_nvidia_gpu_accelerator","TestNvidiaGPUAccelerator","","","test_end_to_end_inference_throughput","Benchmark end-to-end inference throughput for a vision model."
"skipped","Sun Nov 02 03:08:14 UTC 2025","Sun Nov 02 03:08:14 UTC 2025","0","tests","test_multi_gpu","","","","test_cupy_vectorized_ops",""
"skipped","Sun Nov 02 03:08:25 UTC 2025","Sun Nov 02 03:08:25 UTC 2025","0","tests","test_nvidia_real_gpu","TestRealNvidiaGPU","","","test_vram_allocation_stability","Allocate/release VRAM repeatedly to detect fragmentation."
"skipped","Sun Nov 02 03:08:07 UTC 2025","Sun Nov 02 03:08:07 UTC 2025","0","tests","test_intel_gpu_accelerator","TestIntelGPUAccelerator","","","test_memory_bandwidth",""
"skipped","Sun Nov 02 03:06:53 UTC 2025","Sun Nov 02 03:06:53 UTC 2025","0","tests","test_directml_gpu_accelerator","TestDirectMLAccelerator","","","test_mixed_precision_gain",""
"passed","Sun Nov 02 03:07:27 UTC 2025","Sun Nov 02 03:07:50 UTC 2025","22834","tests","test_gpu_stress","","","","test_gpu_stress",""
"skipped","Sun Nov 02 03:08:15 UTC 2025","Sun Nov 02 03:08:15 UTC 2025","0","tests","test_nvidia_gpu_accelerator","TestNvidiaGPUAccelerator","","","test_device_detection","Validate CUDA/NVIDIA detection and info logging."
"skipped","Sun Nov 02 03:06:48 UTC 2025","Sun Nov 02 03:06:48 UTC 2025","0","tests","test_directml_gpu_accelerator","TestDirectMLAccelerator","","","test_fp32_matmul_throughput",""
"skipped","Sun Nov 02 03:06:53 UTC 2025","Sun Nov 02 03:06:53 UTC 2025","0","tests","test_directml_gpu_accelerator","TestDirectMLAccelerator","","","test_end_to_end_inference",""
"skipped","Sun Nov 02 03:08:16 UTC 2025","Sun Nov 02 03:08:16 UTC 2025","0","tests","test_nvidia_gpu_accelerator","TestNvidiaGPUAccelerator","","","test_kernel_launch_latency","Benchmark the overhead of launching a minimal CUDA kernel."
"passed","Sun Nov 02 03:07:50 UTC 2025","Sun Nov 02 03:07:52 UTC 2025","1603","tests","test_gpu_transformer","","","","test_transformer_inference","Benchmark transformer encoder inference on GPU."
