"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Wed Oct 22 16:31:28 UTC 2025","Wed Oct 22 16:31:28 UTC 2025","0","tests","test_nvidia_tensorrt_cudnn","TestNvidiaTensorRTandCuDNN","","","test_cuda_graph_latency_speedup","Compare looped inference latency vs. CUDA Graph 'replay' latency."
"skipped","Wed Oct 22 16:31:28 UTC 2025","Wed Oct 22 16:31:28 UTC 2025","1","tests","test_multi_gpu","","","","test_amp_performance",""
"passed","Wed Oct 22 16:29:48 UTC 2025","Wed Oct 22 16:30:11 UTC 2025","22731","tests","test_gpu_convnet","","","","test_convnet_forward_pass","Benchmark simple CNN forward pass."
"passed","Wed Oct 22 16:30:26 UTC 2025","Wed Oct 22 16:30:28 UTC 2025","2130","tests","test_gpu_model_inference","","","","Inference Load (Batch 1024) - FPS: 78168.95",""
"skipped","Wed Oct 22 16:31:28 UTC 2025","Wed Oct 22 16:31:28 UTC 2025","0","tests","test_nvidia_real_gpu","TestRealNvidiaGPU","","","test_tensor_core_gemm","Benchmark FP16 matrix multiplication using Tensor Cores."
"skipped","Wed Oct 22 16:31:28 UTC 2025","Wed Oct 22 16:31:28 UTC 2025","0","tests","test_nvidia_real_gpu","TestRealNvidiaGPU","","","test_fft_throughput","Benchmark cuFFT by performing a large 3D FFT."
"skipped","Wed Oct 22 16:31:28 UTC 2025","Wed Oct 22 16:31:28 UTC 2025","1","tests","test_multi_gpu","","","","test_tensorflow_multi_gpu_train",""
"skipped","Wed Oct 22 16:31:28 UTC 2025","Wed Oct 22 16:31:28 UTC 2025","0","tests","test_nvidia_gpu_accelerator","TestNvidiaGPUAccelerator","","","test_tensor_core_speedup",""
"skipped","Wed Oct 22 16:31:28 UTC 2025","Wed Oct 22 16:31:28 UTC 2025","0","tests","test_nvidia_tensorrt_cudnn","TestNvidiaTensorRTandCuDNN","","","test_cudnn_batchnorm_throughput","Benchmark cuDNN-accelerated BatchNorm2d forward/backward pass."
"skipped","Wed Oct 22 16:31:28 UTC 2025","Wed Oct 22 16:31:28 UTC 2025","0","tests","test_nvidia_real_gpu","TestRealNvidiaGPU","","","test_sparse_embedding_lookup_speed","Benchmark sparse embedding lookups, common in recommender systems."
"passed","Wed Oct 22 16:27:22 UTC 2025","Wed Oct 22 16:29:46 UTC 2025","144259","tests","test_cpu_reference","","","","test_cpu_reference_operations","Compare CPU baseline to GPU performance."
"passed","Wed Oct 22 16:31:14 UTC 2025","Wed Oct 22 16:31:15 UTC 2025","1748","tests","test_gpu_transformer","","","","test_transformer_inference","Benchmark transformer encoder inference on GPU."
"skipped","Wed Oct 22 16:31:28 UTC 2025","Wed Oct 22 16:31:28 UTC 2025","1","tests","test_multi_gpu","","","","test_cupy_vectorized_ops",""
"skipped","Wed Oct 22 16:31:28 UTC 2025","Wed Oct 22 16:31:28 UTC 2025","1","tests","test_multi_gpu","","","","test_cuml_linear_regression",""
"passed","Wed Oct 22 16:30:24 UTC 2025","Wed Oct 22 16:30:26 UTC 2025","1913","tests","test_gpu_model_inference","","","","Inference Load (Batch 512) - FPS: 66195.2",""
"skipped","Wed Oct 22 16:31:28 UTC 2025","Wed Oct 22 16:31:28 UTC 2025","0","tests","test_nvidia_tensorrt_cudnn","TestNvidiaTensorRTandCuDNN","","","test_cudnn_fp16_speedup","Compare FP16 vs FP32 convolution throughput."
"skipped","Wed Oct 22 16:31:28 UTC 2025","Wed Oct 22 16:31:28 UTC 2025","0","tests","test_nvidia_gpu_accelerator","TestNvidiaGPUAccelerator","","","test_jit_fusion_speedup","Compare a standard Python op vs. a TorchScript JIT-fused kernel."
"skipped","Wed Oct 22 16:31:28 UTC 2025","Wed Oct 22 16:31:28 UTC 2025","0","tests","test_nvidia_real_gpu","TestRealNvidiaGPU","","","test_mixed_precision_speedup","Compare FP32 vs AMP performance on a CNN forward pass."
"skipped","Wed Oct 22 16:31:28 UTC 2025","Wed Oct 22 16:31:28 UTC 2025","0","tests","test_nvidia_tensorrt_cudnn","TestNvidiaTensorRTandCuDNN","","","test_cudnn_convolution_speed","Validate cuDNN convolution speed and correctness."
"passed","Wed Oct 22 16:31:19 UTC 2025","Wed Oct 22 16:31:21 UTC 2025","2400","tests","test_inference_load","","","","test_inference_load[128]",""
"skipped","Wed Oct 22 16:31:28 UTC 2025","Wed Oct 22 16:31:28 UTC 2025","0","tests","test_nvidia_real_gpu","TestRealNvidiaGPU","","","test_dataloader_to_gpu_throughput","Benchmark data transfer from a parallel DataLoader to GPU."
"skipped","Wed Oct 22 16:30:22 UTC 2025","Wed Oct 22 16:30:22 UTC 2025","0","tests","test_gpu_mixed_precision","","","","test_mixed_precision_matmul","Benchmark matrix multiplication using mixed precision."
"skipped","Wed Oct 22 16:31:28 UTC 2025","Wed Oct 22 16:31:28 UTC 2025","0","tests","test_nvidia_gpu_accelerator","TestNvidiaGPUAccelerator","","","test_multi_gpu_sync",""
"skipped","Wed Oct 22 16:31:28 UTC 2025","Wed Oct 22 16:31:28 UTC 2025","0","tests","test_nvidia_tensorrt_cudnn","TestNvidiaTensorRTandCuDNN","","","test_torch_compile_inference_speedup","Compare eager-mode inference vs. torch.compile() (Dynamo)."
"passed","Wed Oct 22 16:30:28 UTC 2025","Wed Oct 22 16:31:13 UTC 2025","45051","tests","test_gpu_stress","","","","test_gpu_stress",""
"passed","Wed Oct 22 16:30:22 UTC 2025","Wed Oct 22 16:30:22 UTC 2025","21","tests","test_gpu_memory","","","","test_gpu_memory_allocation","Validate GPU memory allocation and cleanup."
"passed","Wed Oct 22 16:31:21 UTC 2025","Wed Oct 22 16:31:24 UTC 2025","2741","tests","test_inference_load","","","","test_inference_load[512]",""
"passed","Wed Oct 22 16:30:11 UTC 2025","Wed Oct 22 16:30:22 UTC 2025","10607","tests","test_gpu_matrix_mul","","","","test_matrix_multiplication","Benchmark dense matrix multiplication."
"skipped","Wed Oct 22 16:31:28 UTC 2025","Wed Oct 22 16:31:28 UTC 2025","0","tests","test_nvidia_gpu_accelerator","TestNvidiaGPUAccelerator","","","test_amp_training_step_speed","Benchmark a full forward/backward/optimizer step using AMP."
"passed","Wed Oct 22 16:31:24 UTC 2025","Wed Oct 22 16:31:27 UTC 2025","2896","tests","test_inference_load","","","","test_inference_load[1024]",""
"skipped","Wed Oct 22 16:31:28 UTC 2025","Wed Oct 22 16:31:28 UTC 2025","0","tests","test_nvidia_tensorrt_cudnn","TestNvidiaTensorRTandCuDNN","","","test_tensorrt_inference_speedup","Run TensorRT FP16 inference vs PyTorch FP32 baseline."
"skipped","Wed Oct 22 16:31:28 UTC 2025","Wed Oct 22 16:31:28 UTC 2025","0","tests","test_nvidia_real_gpu","TestRealNvidiaGPU","","","test_gpu_cpu_transfer_bandwidth","Measure GPU to CPU data transfer bandwidth."
"passed","Wed Oct 22 16:29:47 UTC 2025","Wed Oct 22 16:29:48 UTC 2025","1231","tests","test_gpu_compute","","","","test_tensor_operations_benchmark","Benchmark GPU tensor arithmetic (element-wise ops)."
"skipped","Wed Oct 22 16:31:28 UTC 2025","Wed Oct 22 16:31:28 UTC 2025","0","tests","test_nvidia_real_gpu","TestRealNvidiaGPU","","","test_cnn_forward_throughput","Benchmark ResNet-like CNN forward throughput."
"skipped","Wed Oct 22 16:31:28 UTC 2025","Wed Oct 22 16:31:28 UTC 2025","0","tests","test_nvidia_gpu_accelerator","TestNvidiaGPUAccelerator","","","test_dataparallel_training_step","Benchmark a full training step using nn.DataParallel."
"skipped","Wed Oct 22 16:31:28 UTC 2025","Wed Oct 22 16:31:28 UTC 2025","0","tests","test_nvidia_gpu_accelerator","TestNvidiaGPUAccelerator","","","test_multi_gpu_p2p_bandwidth","Measure P2P bandwidth between GPU 0 and GPU 1."
"skipped","Wed Oct 22 16:31:28 UTC 2025","Wed Oct 22 16:31:28 UTC 2025","0","tests","test_nvidia_tensorrt_cudnn","TestNvidiaTensorRTandCuDNN","","","test_gnn_inference_throughput","Benchmark a GCN layer forward pass, testing sparse gather ops."
"skipped","Wed Oct 22 16:31:28 UTC 2025","Wed Oct 22 16:31:28 UTC 2025","0","tests","test_nvidia_real_gpu","TestRealNvidiaGPU","","","test_rnn_gru_throughput","Benchmark a multi-layer GRU, common in sequence modeling."
"skipped","Wed Oct 22 16:31:28 UTC 2025","Wed Oct 22 16:31:28 UTC 2025","0","tests","test_multi_gpu","","","","test_cudnn_conv_benchmark",""
"passed","Wed Oct 22 16:31:16 UTC 2025","Wed Oct 22 16:31:19 UTC 2025","3119","tests","test_idle_baseline","","","","test_idle_baseline",""
"passed","Wed Oct 22 16:31:29 UTC 2025","Wed Oct 22 16:31:29 UTC 2025","653","tests","test_parallel_training","","","","test_parallel_training",""
"skipped","Wed Oct 22 16:31:28 UTC 2025","Wed Oct 22 16:31:28 UTC 2025","0","tests","test_nvidia_gpu_accelerator","TestNvidiaGPUAccelerator","","","test_cuda_kernel_latency",""
