"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri Oct 24 17:44:47 UTC 2025","Fri Oct 24 17:44:47 UTC 2025","0","tests","test_nvidia_tensorrt_cudnn","TestNvidiaTensorRTandCuDNN","","","test_cudnn_convolution_benchmark",""
"skipped","Fri Oct 24 17:44:39 UTC 2025","Fri Oct 24 17:44:39 UTC 2025","0","tests","test_nvidia_gpu_accelerator","TestNvidiaGPUAccelerator","","","test_multi_gpu_p2p_bandwidth","Benchmark P2P memory copy between two GPUs (requires NVLink/PCIe link)."
"passed","Fri Oct 24 17:44:50 UTC 2025","Fri Oct 24 17:44:51 UTC 2025","669","tests","test_parallel_training","","","","test_parallel_training",""
"skipped","Fri Oct 24 17:44:35 UTC 2025","Fri Oct 24 17:44:35 UTC 2025","2","tests","test_multi_gpu","","","","test_cuml_linear_regression",""
"skipped","Fri Oct 24 17:44:43 UTC 2025","Fri Oct 24 17:44:43 UTC 2025","0","tests","test_nvidia_real_gpu","TestRealNvidiaGPU","","","test_transformer_inference_latency","Simulate Transformer encoder forward latency."
"skipped","Fri Oct 24 17:44:46 UTC 2025","Fri Oct 24 17:44:46 UTC 2025","0","tests","test_nvidia_real_gpu","TestRealNvidiaGPU","","","test_sparse_embedding_lookup_speed","Benchmark sparse embedding lookups, common in recommender systems."
"passed","Fri Oct 24 17:43:16 UTC 2025","Fri Oct 24 17:43:16 UTC 2025","71","tests","test_data_preprocessing","","","","test_data_preprocessing",""
"skipped","Fri Oct 24 17:44:35 UTC 2025","Fri Oct 24 17:44:35 UTC 2025","0","tests","test_multi_gpu","","","","test_amp_performance",""
"skipped","Fri Oct 24 17:44:43 UTC 2025","Fri Oct 24 17:44:43 UTC 2025","0","tests","test_nvidia_real_gpu","TestRealNvidiaGPU","","","test_cnn_forward_throughput","Benchmark ResNet-like CNN forward throughput."
"skipped","Fri Oct 24 17:43:05 UTC 2025","Fri Oct 24 17:43:05 UTC 2025","0","tests","test_amd_gpu_accelerator","TestAmdGPUAccelerator","","","test_device_memory_bandwidth",""
"skipped","Fri Oct 24 17:44:45 UTC 2025","Fri Oct 24 17:44:45 UTC 2025","0","tests","test_nvidia_real_gpu","TestRealNvidiaGPU","","","test_dataloader_to_gpu_throughput","Benchmark data transfer from a parallel DataLoader to GPU."
"skipped","Fri Oct 24 17:43:07 UTC 2025","Fri Oct 24 17:43:07 UTC 2025","0","tests","test_amd_gpu_accelerator","TestAmdGPUAccelerator","","","test_vram_fragmentation_stability",""
"skipped","Fri Oct 24 17:44:46 UTC 2025","Fri Oct 24 17:44:46 UTC 2025","0","tests","test_nvidia_real_gpu","TestRealNvidiaGPU","","","test_rnn_gru_throughput","Benchmark a multi-layer GRU, common in sequence modeling."
"skipped","Fri Oct 24 17:43:44 UTC 2025","Fri Oct 24 17:43:44 UTC 2025","0","tests","test_gpu_mixed_precision","","","","test_mixed_precision_matmul","Benchmark matrix multiplication using mixed precision and track TFLOPS."
"skipped","Fri Oct 24 17:44:31 UTC 2025","Fri Oct 24 17:44:31 UTC 2025","0","tests","test_intel_gpu_accelerator","TestIntelGPUAccelerator","","","test_memory_bandwidth",""
"skipped","Fri Oct 24 17:43:07 UTC 2025","Fri Oct 24 17:43:07 UTC 2025","0","tests","test_amd_gpu_accelerator","TestAmdGPUAccelerator","","","test_mixed_precision_bf16_speedup",""
"skipped","Fri Oct 24 17:44:44 UTC 2025","Fri Oct 24 17:44:44 UTC 2025","0","tests","test_nvidia_real_gpu","TestRealNvidiaGPU","","","test_vram_allocation_stability","Allocate/release VRAM repeatedly to detect fragmentation."
"skipped","Fri Oct 24 17:44:30 UTC 2025","Fri Oct 24 17:44:30 UTC 2025","0","tests","test_intel_gpu_accelerator","TestIntelGPUAccelerator","","","test_fp32_gemm_throughput",""
"skipped","Fri Oct 24 17:44:49 UTC 2025","Fri Oct 24 17:44:49 UTC 2025","0","tests","test_nvidia_tensorrt_cudnn","TestNvidiaTensorRTandCuDNN","","","test_cudnn_rnn_throughput",""
"skipped","Fri Oct 24 17:44:42 UTC 2025","Fri Oct 24 17:44:42 UTC 2025","0","tests","test_nvidia_real_gpu","TestRealNvidiaGPU","","","test_tensor_core_gemm","Benchmark FP16 matrix multiplication using Tensor Cores."
"skipped","Fri Oct 24 17:44:31 UTC 2025","Fri Oct 24 17:44:31 UTC 2025","0","tests","test_intel_gpu_accelerator","TestIntelGPUAccelerator","","","test_h2d_latency",""
"passed","Fri Oct 24 17:43:49 UTC 2025","Fri Oct 24 17:43:51 UTC 2025","1910","tests","test_gpu_model_inference","","","","Inference Load (Batch 1024) - FPS: 166436.54",""
"skipped","Fri Oct 24 17:44:37 UTC 2025","Fri Oct 24 17:44:37 UTC 2025","0","tests","test_nvidia_gpu_accelerator","TestNvidiaGPUAccelerator","","","test_h2d_bandwidth","Benchmark Host-to-Device (CPU to GPU) memory copy bandwidth."
"skipped","Fri Oct 24 17:43:06 UTC 2025","Fri Oct 24 17:43:06 UTC 2025","0","tests","test_amd_gpu_accelerator","TestAmdGPUAccelerator","","","test_gpu_cpu_transfer_bandwidth",""
"skipped","Fri Oct 24 17:44:32 UTC 2025","Fri Oct 24 17:44:32 UTC 2025","0","tests","test_intel_gpu_accelerator","TestIntelGPUAccelerator","","","test_opencl_kernel_execution",""
"skipped","Fri Oct 24 17:43:18 UTC 2025","Fri Oct 24 17:43:18 UTC 2025","0","tests","test_directml_gpu_accelerator","TestDirectMLAccelerator","","","test_transformer_latency",""
"passed","Fri Oct 24 17:44:18 UTC 2025","Fri Oct 24 17:44:21 UTC 2025","3124","tests","test_idle_baseline","","","","test_idle_baseline",""
"skipped","Fri Oct 24 17:43:08 UTC 2025","Fri Oct 24 17:43:08 UTC 2025","0","tests","test_amd_gpu_accelerator","TestAmdGPUAccelerator","","","test_multi_gpu_scaling",""
"passed","Fri Oct 24 17:43:21 UTC 2025","Fri Oct 24 17:43:22 UTC 2025","589","tests","test_gpu_compute","","","","test_tensor_operations_benchmark","Benchmark GPU tensor arithmetic (element-wise ops)."
"skipped","Fri Oct 24 17:43:19 UTC 2025","Fri Oct 24 17:43:19 UTC 2025","0","tests","test_directml_gpu_accelerator","TestDirectMLAccelerator","","","test_tensor_add_bandwidth",""
"skipped","Fri Oct 24 17:44:42 UTC 2025","Fri Oct 24 17:44:42 UTC 2025","0","tests","test_nvidia_gpu_accelerator","TestNvidiaGPUAccelerator","","","test_max_vram_allocation","Attempt to allocate the maximum available VRAM to test stability and fragmentation."
"skipped","Fri Oct 24 17:44:48 UTC 2025","Fri Oct 24 17:44:48 UTC 2025","0","tests","test_nvidia_tensorrt_cudnn","TestNvidiaTensorRTandCuDNN","","","test_gnn_throughput","Benchmark a GNN layer, relying on underlying sparse-dense CUDA kernels."
"skipped","Fri Oct 24 17:44:32 UTC 2025","Fri Oct 24 17:44:32 UTC 2025","0","tests","test_intel_gpu_accelerator","TestIntelGPUAccelerator","","","test_kernel_launch_overhead",""
"skipped","Fri Oct 24 17:44:47 UTC 2025","Fri Oct 24 17:44:47 UTC 2025","0","tests","test_nvidia_real_gpu","TestRealNvidiaGPU","","","test_fft_throughput","Benchmark cuFFT by performing a large 3D FFT and collecting telemetry."
"skipped","Fri Oct 24 17:44:36 UTC 2025","Fri Oct 24 17:44:36 UTC 2025","0","tests","test_multi_gpu","","","","test_cupy_vectorized_ops",""
"broken","Fri Oct 24 17:43:09 UTC 2025","Fri Oct 24 17:43:15 UTC 2025","6737","tests","test_cpu_reference","","","","test_cpu_reference_operations","Benchmark CPU matrix multiplication and track GFLOPS."
"skipped","Fri Oct 24 17:43:19 UTC 2025","Fri Oct 24 17:43:19 UTC 2025","0","tests","test_directml_gpu_accelerator","TestDirectMLAccelerator","","","test_memory_allocation",""
"passed","Fri Oct 24 17:43:34 UTC 2025","Fri Oct 24 17:43:40 UTC 2025","5713","tests","test_gpu_matrix_mul","","","","test_matrix_multiplication","Benchmark dense matrix multiplication."
"skipped","Fri Oct 24 17:43:20 UTC 2025","Fri Oct 24 17:43:20 UTC 2025","0","tests","test_directml_gpu_accelerator","TestDirectMLAccelerator","","","test_batchnorm_throughput",""
"skipped","Fri Oct 24 17:43:04 UTC 2025","Fri Oct 24 17:43:04 UTC 2025","0","tests","test_amd_gpu_accelerator","TestAmdGPUAccelerator","","","test_cnn_forward_throughput",""
"skipped","Fri Oct 24 17:44:41 UTC 2025","Fri Oct 24 17:44:41 UTC 2025","0","tests","test_nvidia_gpu_accelerator","TestNvidiaGPUAccelerator","","","test_concurrent_kernel_streams","Benchmark concurrent execution using multiple CUDA streams."
"passed","Fri Oct 24 17:43:46 UTC 2025","Fri Oct 24 17:43:48 UTC 2025","1772","tests","test_gpu_model_inference","","","","Inference Load (Batch 512) - FPS: 193122.1",""
"skipped","Fri Oct 24 17:44:33 UTC 2025","Fri Oct 24 17:44:33 UTC 2025","0","tests","test_intel_gpu_accelerator","TestIntelGPUAccelerator","","","test_end_to_end_inference_throughput",""
"passed","Fri Oct 24 17:43:51 UTC 2025","Fri Oct 24 17:44:15 UTC 2025","23828","tests","test_gpu_stress","","","","test_gpu_stress",""
