"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri Oct 31 18:37:43 UTC 2025","Fri Oct 31 18:37:43 UTC 2025","0","tests","test_nvidia_real_gpu","TestRealNvidiaGPU","","","test_sparse_embedding_lookup_speed","Benchmark sparse embedding lookups, common in recommender systems."
"passed","Fri Oct 31 18:36:44 UTC 2025","Fri Oct 31 18:37:06 UTC 2025","22238","tests","test_gpu_stress","","","","test_gpu_stress",""
"passed","Fri Oct 31 18:36:05 UTC 2025","Fri Oct 31 18:36:05 UTC 2025","72","tests","test_data_preprocessing","","","","test_data_preprocessing",""
"skipped","Fri Oct 31 18:36:36 UTC 2025","Fri Oct 31 18:36:36 UTC 2025","1","tests","test_gpu_mixed_precision","","","","test_mixed_precision_matmul","Benchmark matrix multiplication using mixed precision and track TFLOPS."
"skipped","Fri Oct 31 18:37:39 UTC 2025","Fri Oct 31 18:37:39 UTC 2025","0","tests","test_nvidia_real_gpu","TestRealNvidiaGPU","","","test_cnn_forward_throughput","Benchmark ResNet-like CNN forward throughput."
"skipped","Fri Oct 31 18:37:42 UTC 2025","Fri Oct 31 18:37:42 UTC 2025","0","tests","test_nvidia_real_gpu","TestRealNvidiaGPU","","","test_mixed_precision_speedup","Compare FP32 vs AMP performance on a CNN forward pass."
"skipped","Fri Oct 31 18:37:29 UTC 2025","Fri Oct 31 18:37:29 UTC 2025","0","tests","test_multi_gpu","","","","test_cupy_vectorized_ops",""
"skipped","Fri Oct 31 18:35:51 UTC 2025","Fri Oct 31 18:35:51 UTC 2025","0","tests","test_amd_gpu_accelerator","TestAmdGPUAccelerator","","","test_gpu_cpu_transfer_bandwidth",""
"skipped","Fri Oct 31 18:37:40 UTC 2025","Fri Oct 31 18:37:40 UTC 2025","0","tests","test_nvidia_real_gpu","TestRealNvidiaGPU","","","test_vram_allocation_stability","Allocate/release VRAM repeatedly to detect fragmentation."
"skipped","Fri Oct 31 18:37:38 UTC 2025","Fri Oct 31 18:37:38 UTC 2025","0","tests","test_nvidia_real_gpu","TestRealNvidiaGPU","","","test_tensor_core_gemm","Benchmark FP16 matrix multiplication using Tensor Cores."
"passed","Fri Oct 31 18:37:19 UTC 2025","Fri Oct 31 18:37:22 UTC 2025","2718","tests","test_inference_load","","","","test_inference_load[1024]",""
"skipped","Fri Oct 31 18:37:25 UTC 2025","Fri Oct 31 18:37:25 UTC 2025","0","tests","test_intel_gpu_accelerator","TestIntelGPUAccelerator","","","test_end_to_end_inference_throughput",""
"skipped","Fri Oct 31 18:37:36 UTC 2025","Fri Oct 31 18:37:36 UTC 2025","0","tests","test_nvidia_gpu_accelerator","TestNvidiaGPUAccelerator","","","test_distributeddataparallel_step","Benchmark a DDP training step, testing NCCL all-reduce."
"skipped","Fri Oct 31 18:37:45 UTC 2025","Fri Oct 31 18:37:45 UTC 2025","0","tests","test_nvidia_tensorrt_cudnn","TestNvidiaTensorRTandCuDNN","","","test_cudnn_convolution_benchmark",""
"skipped","Fri Oct 31 18:36:06 UTC 2025","Fri Oct 31 18:36:06 UTC 2025","0","tests","test_directml_gpu_accelerator","TestDirectMLAccelerator","","","test_fp32_matmul_throughput",""
"passed","Fri Oct 31 18:35:58 UTC 2025","Fri Oct 31 18:35:58 UTC 2025","744","tests","test_cpu_reference","","","","CPU Baseline: 2048x2048 Matmul (0.0 GFLOPS/s)",""
"passed","Fri Oct 31 18:37:13 UTC 2025","Fri Oct 31 18:37:15 UTC 2025","2303","tests","test_inference_load","","","","test_inference_load[128]",""
"passed","Fri Oct 31 18:37:48 UTC 2025","Fri Oct 31 18:37:49 UTC 2025","624","tests","test_parallel_training","","","","test_parallel_training",""
"passed","Fri Oct 31 18:35:55 UTC 2025","Fri Oct 31 18:35:55 UTC 2025","4","tests","test_cpu_benchmark","","","","test_cpu_prime_benchmark",""
"passed","Fri Oct 31 18:37:09 UTC 2025","Fri Oct 31 18:37:12 UTC 2025","3121","tests","test_idle_baseline","","","","test_idle_baseline",""
"skipped","Fri Oct 31 18:36:10 UTC 2025","Fri Oct 31 18:36:10 UTC 2025","0","tests","test_directml_gpu_accelerator","TestDirectMLAccelerator","","","test_batchnorm_throughput",""
"skipped","Fri Oct 31 18:35:49 UTC 2025","Fri Oct 31 18:35:49 UTC 2025","0","tests","test_amd_gpu_accelerator","TestAmdGPUAccelerator","","","test_fp16_gemm_throughput",""
"skipped","Fri Oct 31 18:35:54 UTC 2025","Fri Oct 31 18:35:54 UTC 2025","0","tests","test_amd_gpu_accelerator","TestAmdGPUAccelerator","","","test_end_to_end_inference_throughput",""
"skipped","Fri Oct 31 18:36:09 UTC 2025","Fri Oct 31 18:36:09 UTC 2025","0","tests","test_directml_gpu_accelerator","TestDirectMLAccelerator","","","test_memory_allocation",""
"skipped","Fri Oct 31 18:37:36 UTC 2025","Fri Oct 31 18:37:36 UTC 2025","0","tests","test_nvidia_gpu_accelerator","TestNvidiaGPUAccelerator","","","test_end_to_end_inference_throughput","Benchmark end-to-end inference throughput for a vision model."
"skipped","Fri Oct 31 18:37:34 UTC 2025","Fri Oct 31 18:37:34 UTC 2025","0","tests","test_nvidia_gpu_accelerator","TestNvidiaGPUAccelerator","","","test_multi_gpu_p2p_bandwidth","Benchmark P2P memory copy between two GPUs (requires NVLink/PCIe link)."
"skipped","Fri Oct 31 18:37:31 UTC 2025","Fri Oct 31 18:37:31 UTC 2025","0","tests","test_nvidia_gpu_accelerator","TestNvidiaGPUAccelerator","","","test_device_detection","Validate CUDA/NVIDIA detection and info logging."
"skipped","Fri Oct 31 18:37:24 UTC 2025","Fri Oct 31 18:37:24 UTC 2025","0","tests","test_intel_gpu_accelerator","TestIntelGPUAccelerator","","","test_kernel_launch_overhead",""
"skipped","Fri Oct 31 18:35:53 UTC 2025","Fri Oct 31 18:35:53 UTC 2025","0","tests","test_amd_gpu_accelerator","TestAmdGPUAccelerator","","","test_multi_gpu_scaling",""
"skipped","Fri Oct 31 18:36:08 UTC 2025","Fri Oct 31 18:36:08 UTC 2025","0","tests","test_directml_gpu_accelerator","TestDirectMLAccelerator","","","test_transformer_latency",""
"passed","Fri Oct 31 18:35:57 UTC 2025","Fri Oct 31 18:35:57 UTC 2025","1","tests","test_cpu_benchmark","","","","test_cpu_matrix_arithmetic",""
"skipped","Fri Oct 31 18:37:25 UTC 2025","Fri Oct 31 18:37:25 UTC 2025","0","tests","test_intel_gpu_accelerator","TestIntelGPUAccelerator","","","test_opencl_kernel_execution",""
"skipped","Fri Oct 31 18:37:37 UTC 2025","Fri Oct 31 18:37:37 UTC 2025","0","tests","test_nvidia_gpu_accelerator","TestNvidiaGPUAccelerator","","","test_concurrent_kernel_streams","Benchmark concurrent execution using multiple CUDA streams."
