"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Oct 27 19:32:12 UTC 2025","Mon Oct 27 19:32:12 UTC 2025","0","tests","test_nvidia_gpu_accelerator","TestNvidiaGPUAccelerator","","","test_device_detection","Validate CUDA/NVIDIA detection and info logging."
"passed","Mon Oct 27 19:30:55 UTC 2025","Mon Oct 27 19:31:06 UTC 2025","10573","tests","test_gpu_convnet","","","","test_convnet_forward_pass","Benchmark simple CNN forward pass."
"skipped","Mon Oct 27 19:32:21 UTC 2025","Mon Oct 27 19:32:21 UTC 2025","0","tests","test_nvidia_real_gpu","TestRealNvidiaGPU","","","test_transformer_inference_latency","Simulate Transformer encoder forward latency."
"skipped","Mon Oct 27 19:32:07 UTC 2025","Mon Oct 27 19:32:07 UTC 2025","0","tests","test_intel_gpu_accelerator","TestIntelGPUAccelerator","","","test_end_to_end_inference_throughput",""
"skipped","Mon Oct 27 19:32:19 UTC 2025","Mon Oct 27 19:32:19 UTC 2025","0","tests","test_nvidia_gpu_accelerator","TestNvidiaGPUAccelerator","","","test_concurrent_kernel_streams","Benchmark concurrent execution using multiple CUDA streams."
"skipped","Mon Oct 27 19:32:11 UTC 2025","Mon Oct 27 19:32:11 UTC 2025","0","tests","test_multi_gpu","","","","test_cupy_vectorized_ops",""
"skipped","Mon Oct 27 19:30:50 UTC 2025","Mon Oct 27 19:30:50 UTC 2025","0","tests","test_directml_gpu_accelerator","TestDirectMLAccelerator","","","test_memory_allocation",""
"skipped","Mon Oct 27 19:32:06 UTC 2025","Mon Oct 27 19:32:06 UTC 2025","0","tests","test_intel_gpu_accelerator","TestIntelGPUAccelerator","","","test_kernel_launch_overhead",""
"passed","Mon Oct 27 19:31:48 UTC 2025","Mon Oct 27 19:31:50 UTC 2025","1585","tests","test_gpu_transformer","","","","test_transformer_inference","Benchmark transformer encoder inference on GPU."
"skipped","Mon Oct 27 19:32:05 UTC 2025","Mon Oct 27 19:32:05 UTC 2025","0","tests","test_intel_gpu_accelerator","TestIntelGPUAccelerator","","","test_h2d_latency",""
"skipped","Mon Oct 27 19:30:31 UTC 2025","Mon Oct 27 19:30:31 UTC 2025","0","tests","test_amd_gpu_accelerator","TestAmdGPUAccelerator","","","test_device_memory_bandwidth",""
"skipped","Mon Oct 27 19:32:12 UTC 2025","Mon Oct 27 19:32:12 UTC 2025","2","tests","test_multi_gpu","","","","test_tensorflow_multi_gpu_train",""
"skipped","Mon Oct 27 19:31:17 UTC 2025","Mon Oct 27 19:31:17 UTC 2025","0","tests","test_gpu_mixed_precision","","","","test_mixed_precision_matmul","Benchmark matrix multiplication using mixed precision and track TFLOPS."
"passed","Mon Oct 27 19:30:42 UTC 2025","Mon Oct 27 19:30:45 UTC 2025","3109","tests","test_cpu_reference","","","","CPU Baseline: Sort (4194304 elements)",""
"skipped","Mon Oct 27 19:30:30 UTC 2025","Mon Oct 27 19:30:30 UTC 2025","0","tests","test_amd_gpu_accelerator","TestAmdGPUAccelerator","","","test_cnn_forward_throughput",""
"passed","Mon Oct 27 19:31:13 UTC 2025","Mon Oct 27 19:31:16 UTC 2025","3022","tests","test_gpu_memory","","","","test_gpu_memory_allocation","Validate GPU memory allocation, cleanup, and capture memory usage."
"skipped","Mon Oct 27 19:32:06 UTC 2025","Mon Oct 27 19:32:06 UTC 2025","0","tests","test_intel_gpu_accelerator","TestIntelGPUAccelerator","","","test_opencl_kernel_execution",""
"skipped","Mon Oct 27 19:30:52 UTC 2025","Mon Oct 27 19:30:52 UTC 2025","0","tests","test_directml_gpu_accelerator","TestDirectMLAccelerator","","","test_end_to_end_inference",""
"skipped","Mon Oct 27 19:32:22 UTC 2025","Mon Oct 27 19:32:22 UTC 2025","0","tests","test_nvidia_real_gpu","TestRealNvidiaGPU","","","test_vram_allocation_stability","Allocate/release VRAM repeatedly to detect fragmentation."
"skipped","Mon Oct 27 19:32:10 UTC 2025","Mon Oct 27 19:32:10 UTC 2025","1","tests","test_multi_gpu","","","","test_cuml_linear_regression",""
"skipped","Mon Oct 27 19:30:32 UTC 2025","Mon Oct 27 19:30:32 UTC 2025","0","tests","test_amd_gpu_accelerator","TestAmdGPUAccelerator","","","test_mixed_precision_bf16_speedup",""
"skipped","Mon Oct 27 19:30:34 UTC 2025","Mon Oct 27 19:30:34 UTC 2025","0","tests","test_amd_gpu_accelerator","TestAmdGPUAccelerator","","","test_end_to_end_inference_throughput",""
"skipped","Mon Oct 27 19:30:48 UTC 2025","Mon Oct 27 19:30:48 UTC 2025","0","tests","test_directml_gpu_accelerator","TestDirectMLAccelerator","","","test_cnn_forward",""
"skipped","Mon Oct 27 19:32:25 UTC 2025","Mon Oct 27 19:32:25 UTC 2025","0","tests","test_nvidia_real_gpu","TestRealNvidiaGPU","","","test_rnn_gru_throughput","Benchmark a multi-layer GRU, common in sequence modeling."
"skipped","Mon Oct 27 19:30:49 UTC 2025","Mon Oct 27 19:30:49 UTC 2025","0","tests","test_directml_gpu_accelerator","TestDirectMLAccelerator","","","test_tensor_add_bandwidth",""
"passed","Mon Oct 27 19:30:36 UTC 2025","Mon Oct 27 19:30:36 UTC 2025","4","tests","test_cpu_benchmark","","","","test_cpu_prime_benchmark",""
"skipped","Mon Oct 27 19:32:28 UTC 2025","Mon Oct 27 19:32:28 UTC 2025","0","tests","test_nvidia_tensorrt_cudnn","TestNvidiaTensorRTandCuDNN","","","test_gnn_throughput","Benchmark a GNN layer, relying on underlying sparse-dense CUDA kernels."
"skipped","Mon Oct 27 19:30:33 UTC 2025","Mon Oct 27 19:30:33 UTC 2025","0","tests","test_amd_gpu_accelerator","TestAmdGPUAccelerator","","","test_vram_fragmentation_stability",""
"skipped","Mon Oct 27 19:30:51 UTC 2025","Mon Oct 27 19:30:51 UTC 2025","0","tests","test_directml_gpu_accelerator","TestDirectMLAccelerator","","","test_mixed_precision_gain",""
"passed","Mon Oct 27 19:30:40 UTC 2025","Mon Oct 27 19:30:41 UTC 2025","1574","tests","test_cpu_reference","","","","CPU Baseline: Conv2D (512x512 Input, 64->128 Ch)",""
"skipped","Mon Oct 27 19:32:25 UTC 2025","Mon Oct 27 19:32:25 UTC 2025","0","tests","test_nvidia_real_gpu","TestRealNvidiaGPU","","","test_sparse_embedding_lookup_speed","Benchmark sparse embedding lookups, common in recommender systems."
