"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Oct 22 04:04:28 UTC 2025","Wed Oct 22 04:04:34 UTC 2025","5924","tests","test_gpu_matrix_mul","","","","test_matrix_multiplication","Benchmark dense matrix multiplication."
"skipped","Wed Oct 22 04:05:20 UTC 2025","Wed Oct 22 04:05:20 UTC 2025","0","tests","test_nvidia_real_gpu","TestRealNvidiaGPU","","","test_vram_allocation_stability","Allocate/release VRAM repeatedly to detect fragmentation."
"passed","Wed Oct 22 04:04:14 UTC 2025","Wed Oct 22 04:04:14 UTC 2025","0","tests","test_data_preprocessing","","","","test_data_preprocessing",""
"skipped","Wed Oct 22 04:05:20 UTC 2025","Wed Oct 22 04:05:20 UTC 2025","0","tests","test_nvidia_tensorrt_cudnn","TestNvidiaTensorRTandCuDNN","","","test_cudnn_convolution_speed","Validate cuDNN convolution speed and correctness."
"passed","Wed Oct 22 04:04:16 UTC 2025","Wed Oct 22 04:04:28 UTC 2025","12020","tests","test_gpu_convnet","","","","test_convnet_forward_pass","Benchmark simple CNN forward pass."
"skipped","Wed Oct 22 04:05:19 UTC 2025","Wed Oct 22 04:05:19 UTC 2025","2","tests","test_multi_gpu","","","","test_tensorflow_multi_gpu_train",""
"passed","Wed Oct 22 04:05:10 UTC 2025","Wed Oct 22 04:05:13 UTC 2025","2500","tests","test_inference_load","","","","test_inference_load[128]",""
"skipped","Wed Oct 22 04:05:20 UTC 2025","Wed Oct 22 04:05:20 UTC 2025","0","tests","test_nvidia_tensorrt_cudnn","TestNvidiaTensorRTandCuDNN","","","test_cudnn_fp16_speedup","Compare FP16 vs FP32 convolution throughput."
"passed","Wed Oct 22 04:04:34 UTC 2025","Wed Oct 22 04:04:34 UTC 2025","22","tests","test_gpu_memory","","","","test_gpu_memory_allocation","Validate GPU memory allocation and cleanup."
"passed","Wed Oct 22 04:04:36 UTC 2025","Wed Oct 22 04:04:38 UTC 2025","1797","tests","test_gpu_model_inference","","","","Inference Load (Batch 512) - FPS: 162232.81",""
"skipped","Wed Oct 22 04:05:19 UTC 2025","Wed Oct 22 04:05:19 UTC 2025","0","tests","test_multi_gpu","","","","test_cuda_tensorcore_mma",""
"skipped","Wed Oct 22 04:04:34 UTC 2025","Wed Oct 22 04:04:34 UTC 2025","0","tests","test_gpu_mixed_precision","","","","test_mixed_precision_matmul","Benchmark matrix multiplication using mixed precision."
"skipped","Wed Oct 22 04:05:20 UTC 2025","Wed Oct 22 04:05:20 UTC 2025","0","tests","test_nvidia_real_gpu","TestRealNvidiaGPU","","","test_tensor_core_gemm","Benchmark FP16 matrix multiplication using Tensor Cores."
"skipped","Wed Oct 22 04:05:20 UTC 2025","Wed Oct 22 04:05:20 UTC 2025","0","tests","test_nvidia_real_gpu","TestRealNvidiaGPU","","","test_transformer_inference_latency","Simulate Transformer encoder forward latency."
"passed","Wed Oct 22 04:05:13 UTC 2025","Wed Oct 22 04:05:16 UTC 2025","2675","tests","test_inference_load","","","","test_inference_load[512]",""
"skipped","Wed Oct 22 04:05:20 UTC 2025","Wed Oct 22 04:05:20 UTC 2025","2","tests","test_nvidia_gpu_accelerator","TestNvidiaGPUAccelerator","","","test_gpu_memory_bandwidth",""
"skipped","Wed Oct 22 04:05:20 UTC 2025","Wed Oct 22 04:05:20 UTC 2025","0","tests","test_nvidia_gpu_accelerator","TestNvidiaGPUAccelerator","","","test_cuda_kernel_latency",""
"passed","Wed Oct 22 04:04:14 UTC 2025","Wed Oct 22 04:04:16 UTC 2025","1694","tests","test_gpu_compute","","","","test_tensor_operations_benchmark","Benchmark GPU tensor arithmetic (element-wise ops)."
"skipped","Wed Oct 22 04:05:20 UTC 2025","Wed Oct 22 04:05:20 UTC 2025","0","tests","test_nvidia_real_gpu","TestRealNvidiaGPU","","","test_cnn_forward_throughput","Benchmark ResNet-like CNN forward throughput."
"passed","Wed Oct 22 04:05:20 UTC 2025","Wed Oct 22 04:05:20 UTC 2025","681","tests","test_parallel_training","","","","test_parallel_training",""
"skipped","Wed Oct 22 04:05:20 UTC 2025","Wed Oct 22 04:05:20 UTC 2025","0","tests","test_nvidia_gpu_accelerator","TestNvidiaGPUAccelerator","","","test_multi_gpu_sync",""
"skipped","Wed Oct 22 04:05:19 UTC 2025","Wed Oct 22 04:05:19 UTC 2025","0","tests","test_multi_gpu","","","","test_cuml_linear_regression",""
"skipped","Wed Oct 22 04:05:19 UTC 2025","Wed Oct 22 04:05:19 UTC 2025","0","tests","test_multi_gpu","","","","test_cudnn_conv_benchmark",""
"passed","Wed Oct 22 04:04:35 UTC 2025","Wed Oct 22 04:04:36 UTC 2025","1712","tests","test_gpu_model_inference","","","","Inference Load (Batch 128) - FPS: 112788.0",""
"passed","Wed Oct 22 04:05:07 UTC 2025","Wed Oct 22 04:05:10 UTC 2025","3124","tests","test_idle_baseline","","","","test_idle_baseline",""
"skipped","Wed Oct 22 04:05:20 UTC 2025","Wed Oct 22 04:05:20 UTC 2025","0","tests","test_nvidia_gpu_accelerator","TestNvidiaGPUAccelerator","","","test_tensor_core_speedup",""
"passed","Wed Oct 22 04:05:16 UTC 2025","Wed Oct 22 04:05:19 UTC 2025","2818","tests","test_inference_load","","","","test_inference_load[1024]",""
"skipped","Wed Oct 22 04:05:19 UTC 2025","Wed Oct 22 04:05:19 UTC 2025","0","tests","test_multi_gpu","","","","test_amp_performance",""
"skipped","Wed Oct 22 04:05:19 UTC 2025","Wed Oct 22 04:05:19 UTC 2025","2","tests","test_multi_gpu","","","","test_cupy_vectorized_ops",""
"skipped","Wed Oct 22 04:05:20 UTC 2025","Wed Oct 22 04:05:20 UTC 2025","0","tests","test_nvidia_real_gpu","TestRealNvidiaGPU","","","test_gpu_cpu_transfer_bandwidth","Measure GPU to CPU data transfer bandwidth."
"passed","Wed Oct 22 04:04:40 UTC 2025","Wed Oct 22 04:05:05 UTC 2025","24747","tests","test_gpu_stress","","","","test_gpu_stress",""
"skipped","Wed Oct 22 04:05:20 UTC 2025","Wed Oct 22 04:05:20 UTC 2025","0","tests","test_nvidia_tensorrt_cudnn","TestNvidiaTensorRTandCuDNN","","","test_tensorrt_inference_speedup","Run TensorRT FP16 inference vs PyTorch FP32 baseline."
"passed","Wed Oct 22 04:05:05 UTC 2025","Wed Oct 22 04:05:07 UTC 2025","1595","tests","test_gpu_transformer","","","","test_transformer_inference","Benchmark transformer encoder inference on GPU."
"passed","Wed Oct 22 04:04:38 UTC 2025","Wed Oct 22 04:04:40 UTC 2025","1907","tests","test_gpu_model_inference","","","","Inference Load (Batch 1024) - FPS: 160102.59",""
