"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue Oct 28 16:31:34 UTC 2025","Tue Oct 28 16:31:34 UTC 2025","0","tests","test_amd_gpu_accelerator","TestAmdGPUAccelerator","","","test_cnn_forward_throughput",""
"passed","Tue Oct 28 16:31:44 UTC 2025","Tue Oct 28 16:31:46 UTC 2025","1620","tests","test_cpu_reference","","","","CPU Baseline: Conv2D (512x512 Input, 64->128 Ch)",""
"passed","Tue Oct 28 16:32:53 UTC 2025","Tue Oct 28 16:32:54 UTC 2025","1563","tests","test_gpu_transformer","","","","test_transformer_inference","Benchmark transformer encoder inference on GPU."
"skipped","Tue Oct 28 16:31:39 UTC 2025","Tue Oct 28 16:31:39 UTC 2025","0","tests","test_amd_gpu_accelerator","TestAmdGPUAccelerator","","","test_end_to_end_inference_throughput",""
"skipped","Tue Oct 28 16:31:35 UTC 2025","Tue Oct 28 16:31:35 UTC 2025","0","tests","test_amd_gpu_accelerator","TestAmdGPUAccelerator","","","test_device_memory_bandwidth",""
"passed","Tue Oct 28 16:31:57 UTC 2025","Tue Oct 28 16:31:59 UTC 2025","2111","tests","test_gpu_compute","","","","test_tensor_operations_benchmark","Benchmark GPU tensor arithmetic (element-wise ops)."
"skipped","Tue Oct 28 16:33:13 UTC 2025","Tue Oct 28 16:33:13 UTC 2025","0","tests","test_multi_gpu","","","","test_cuda_tensorcore_mma",""
"skipped","Tue Oct 28 16:33:12 UTC 2025","Tue Oct 28 16:33:12 UTC 2025","0","tests","test_intel_gpu_accelerator","TestIntelGPUAccelerator","","","test_end_to_end_inference_throughput",""
"skipped","Tue Oct 28 16:33:14 UTC 2025","Tue Oct 28 16:33:14 UTC 2025","0","tests","test_multi_gpu","","","","test_amp_performance",""
"skipped","Tue Oct 28 16:33:10 UTC 2025","Tue Oct 28 16:33:10 UTC 2025","0","tests","test_intel_gpu_accelerator","TestIntelGPUAccelerator","","","test_h2d_latency",""
"skipped","Tue Oct 28 16:33:23 UTC 2025","Tue Oct 28 16:33:23 UTC 2025","0","tests","test_nvidia_gpu_accelerator","TestNvidiaGPUAccelerator","","","test_end_to_end_inference_throughput","Benchmark end-to-end inference throughput for a vision model."
"passed","Tue Oct 28 16:31:40 UTC 2025","Tue Oct 28 16:31:40 UTC 2025","3","tests","test_cpu_benchmark","","","","test_cpu_prime_benchmark",""
"skipped","Tue Oct 28 16:33:18 UTC 2025","Tue Oct 28 16:33:18 UTC 2025","0","tests","test_nvidia_gpu_accelerator","TestNvidiaGPUAccelerator","","","test_device_detection","Validate CUDA/NVIDIA detection and info logging."
"skipped","Tue Oct 28 16:32:21 UTC 2025","Tue Oct 28 16:32:21 UTC 2025","0","tests","test_gpu_mixed_precision","","","","test_mixed_precision_matmul","Benchmark matrix multiplication using mixed precision and track TFLOPS."
"skipped","Tue Oct 28 16:33:34 UTC 2025","Tue Oct 28 16:33:34 UTC 2025","0","tests","test_nvidia_tensorrt_cudnn","TestNvidiaTensorRTandCuDNN","","","test_cudnn_rnn_throughput",""
"skipped","Tue Oct 28 16:33:23 UTC 2025","Tue Oct 28 16:33:23 UTC 2025","0","tests","test_nvidia_gpu_accelerator","TestNvidiaGPUAccelerator","","","test_distributeddataparallel_step","Benchmark a DDP training step, testing NCCL all-reduce."
"skipped","Tue Oct 28 16:33:25 UTC 2025","Tue Oct 28 16:33:25 UTC 2025","0","tests","test_nvidia_real_gpu","TestRealNvidiaGPU","","","test_tensor_core_gemm","Benchmark FP16 matrix multiplication using Tensor Cores."
"skipped","Tue Oct 28 16:33:32 UTC 2025","Tue Oct 28 16:33:32 UTC 2025","0","tests","test_nvidia_tensorrt_cudnn","TestNvidiaTensorRTandCuDNN","","","test_cudnn_convolution_benchmark",""
"skipped","Tue Oct 28 16:31:56 UTC 2025","Tue Oct 28 16:31:56 UTC 2025","0","tests","test_directml_gpu_accelerator","TestDirectMLAccelerator","","","test_mixed_precision_gain",""
"skipped","Tue Oct 28 16:31:34 UTC 2025","Tue Oct 28 16:31:34 UTC 2025","0","tests","test_amd_gpu_accelerator","TestAmdGPUAccelerator","","","test_fp16_gemm_throughput",""
"passed","Tue Oct 28 16:32:11 UTC 2025","Tue Oct 28 16:32:17 UTC 2025","5339","tests","test_gpu_matrix_mul","","","","test_matrix_multiplication","Benchmark dense matrix multiplication."
"skipped","Tue Oct 28 16:33:34 UTC 2025","Tue Oct 28 16:33:34 UTC 2025","0","tests","test_nvidia_tensorrt_cudnn","TestNvidiaTensorRTandCuDNN","","","test_cudnn_fp32_matmul_benchmark",""
"skipped","Tue Oct 28 16:33:30 UTC 2025","Tue Oct 28 16:33:30 UTC 2025","0","tests","test_nvidia_real_gpu","TestRealNvidiaGPU","","","test_sparse_embedding_lookup_speed","Benchmark sparse embedding lookups, common in recommender systems."
