"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Fri Oct 31 18:38:23 UTC 2025","Fri Oct 31 18:38:23 UTC 2025","0","tests","test_nvidia_tensorrt_cudnn","TestNvidiaTensorRTandCuDNN","","","test_tensorrt_inference_speedup",""
"skipped","Fri Oct 31 18:36:25 UTC 2025","Fri Oct 31 18:36:25 UTC 2025","0","tests","test_amd_gpu_accelerator","TestAmdGPUAccelerator","","","test_vram_fragmentation_stability",""
"passed","Fri Oct 31 18:37:44 UTC 2025","Fri Oct 31 18:37:46 UTC 2025","2480","tests","test_gpu_transformer","","","","test_transformer_inference","Benchmark transformer encoder inference on GPU."
"passed","Fri Oct 31 18:36:51 UTC 2025","Fri Oct 31 18:37:01 UTC 2025","10615","tests","test_gpu_convnet","","","","test_convnet_forward_pass","Benchmark simple CNN forward pass."
"passed","Fri Oct 31 18:37:51 UTC 2025","Fri Oct 31 18:37:53 UTC 2025","2246","tests","test_inference_load","","","","test_inference_load[128]",""
"passed","Fri Oct 31 18:36:31 UTC 2025","Fri Oct 31 18:36:33 UTC 2025","1803","tests","test_cpu_reference","","","","CPU Baseline: Conv2D (512x512 Input, 64->128 Ch)",""
"skipped","Fri Oct 31 18:38:14 UTC 2025","Fri Oct 31 18:38:14 UTC 2025","0","tests","test_nvidia_gpu_accelerator","TestNvidiaGPUAccelerator","","","test_distributeddataparallel_step","Benchmark a DDP training step, testing NCCL all-reduce."
"skipped","Fri Oct 31 18:38:21 UTC 2025","Fri Oct 31 18:38:21 UTC 2025","0","tests","test_nvidia_real_gpu","TestRealNvidiaGPU","","","test_rnn_gru_throughput","Benchmark a multi-layer GRU, common in sequence modeling."
"skipped","Fri Oct 31 18:38:14 UTC 2025","Fri Oct 31 18:38:14 UTC 2025","0","tests","test_nvidia_gpu_accelerator","TestNvidiaGPUAccelerator","","","test_end_to_end_inference_throughput","Benchmark end-to-end inference throughput for a vision model."
"skipped","Fri Oct 31 18:38:11 UTC 2025","Fri Oct 31 18:38:11 UTC 2025","0","tests","test_nvidia_gpu_accelerator","TestNvidiaGPUAccelerator","","","test_fp32_gemm_throughput","Benchmark FP32 GEMM performance (non-Tensor Core)."
"passed","Fri Oct 31 18:37:21 UTC 2025","Fri Oct 31 18:37:43 UTC 2025","22298","tests","test_gpu_stress","","","","test_gpu_stress",""
"skipped","Fri Oct 31 18:38:22 UTC 2025","Fri Oct 31 18:38:22 UTC 2025","0","tests","test_nvidia_real_gpu","TestRealNvidiaGPU","","","test_fft_throughput","Benchmark cuFFT by performing a large 3D FFT and collecting telemetry."
"passed","Fri Oct 31 18:36:29 UTC 2025","Fri Oct 31 18:36:29 UTC 2025","2","tests","test_cpu_benchmark","","","","test_cpu_matrix_arithmetic",""
