"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu Oct 30 04:28:57 UTC 2025","Thu Oct 30 04:28:57 UTC 2025","0","tests","test_amd_gpu_accelerator","TestAmdGPUAccelerator","","","test_multi_gpu_scaling",""
"passed","Thu Oct 30 04:30:17 UTC 2025","Thu Oct 30 04:30:19 UTC 2025","2420","tests","test_inference_load","","","","test_inference_load[128]",""
"skipped","Thu Oct 30 04:30:32 UTC 2025","Thu Oct 30 04:30:32 UTC 2025","1","tests","test_multi_gpu","","","","test_cudnn_conv_benchmark",""
"skipped","Thu Oct 30 04:30:49 UTC 2025","Thu Oct 30 04:30:49 UTC 2025","0","tests","test_nvidia_real_gpu","TestRealNvidiaGPU","","","test_fft_throughput","Benchmark cuFFT by performing a large 3D FFT and collecting telemetry."
"passed","Thu Oct 30 04:28:59 UTC 2025","Thu Oct 30 04:28:59 UTC 2025","48","tests","test_cpu_benchmark","","","","test_cpu_sorting_benchmark",""
"skipped","Thu Oct 30 04:30:39 UTC 2025","Thu Oct 30 04:30:39 UTC 2025","0","tests","test_nvidia_gpu_accelerator","TestNvidiaGPUAccelerator","","","test_multi_gpu_p2p_bandwidth","Benchmark P2P memory copy between two GPUs (requires NVLink/PCIe link)."
"skipped","Thu Oct 30 04:30:40 UTC 2025","Thu Oct 30 04:30:40 UTC 2025","0","tests","test_nvidia_gpu_accelerator","TestNvidiaGPUAccelerator","","","test_end_to_end_inference_throughput","Benchmark end-to-end inference throughput for a vision model."
"skipped","Thu Oct 30 04:29:11 UTC 2025","Thu Oct 30 04:29:11 UTC 2025","0","tests","test_directml_gpu_accelerator","TestDirectMLAccelerator","","","test_fp16_gemm",""
"skipped","Thu Oct 30 04:29:15 UTC 2025","Thu Oct 30 04:29:15 UTC 2025","0","tests","test_directml_gpu_accelerator","TestDirectMLAccelerator","","","test_end_to_end_inference",""
"skipped","Thu Oct 30 04:28:55 UTC 2025","Thu Oct 30 04:28:55 UTC 2025","0","tests","test_amd_gpu_accelerator","TestAmdGPUAccelerator","","","test_gpu_cpu_transfer_bandwidth",""
"passed","Thu Oct 30 04:29:30 UTC 2025","Thu Oct 30 04:29:36 UTC 2025","5284","tests","test_gpu_matrix_mul","","","","test_matrix_multiplication","Benchmark dense matrix multiplication."
"skipped","Thu Oct 30 04:30:44 UTC 2025","Thu Oct 30 04:30:44 UTC 2025","0","tests","test_nvidia_real_gpu","TestRealNvidiaGPU","","","test_cnn_forward_throughput","Benchmark ResNet-like CNN forward throughput."
"skipped","Thu Oct 30 04:29:40 UTC 2025","Thu Oct 30 04:29:40 UTC 2025","0","tests","test_gpu_mixed_precision","","","","test_mixed_precision_matmul","Benchmark matrix multiplication using mixed precision and track TFLOPS."
"passed","Thu Oct 30 04:30:13 UTC 2025","Thu Oct 30 04:30:16 UTC 2025","3119","tests","test_idle_baseline","","","","test_idle_baseline",""
"skipped","Thu Oct 30 04:30:46 UTC 2025","Thu Oct 30 04:30:46 UTC 2025","0","tests","test_nvidia_real_gpu","TestRealNvidiaGPU","","","test_gpu_cpu_transfer_bandwidth","Measure GPU to CPU data transfer bandwidth."
"passed","Thu Oct 30 04:29:45 UTC 2025","Thu Oct 30 04:29:47 UTC 2025","1906","tests","test_gpu_model_inference","","","","Inference Load (Batch 1024) - FPS: 139156.86",""
"skipped","Thu Oct 30 04:28:57 UTC 2025","Thu Oct 30 04:28:57 UTC 2025","0","tests","test_amd_gpu_accelerator","TestAmdGPUAccelerator","","","test_vram_fragmentation_stability",""
"skipped","Thu Oct 30 04:30:31 UTC 2025","Thu Oct 30 04:30:31 UTC 2025","0","tests","test_multi_gpu","","","","test_cuda_tensorcore_mma",""
"skipped","Thu Oct 30 04:30:27 UTC 2025","Thu Oct 30 04:30:27 UTC 2025","0","tests","test_intel_gpu_accelerator","TestIntelGPUAccelerator","","","test_fp32_gemm_throughput",""
"passed","Thu Oct 30 04:29:16 UTC 2025","Thu Oct 30 04:29:18 UTC 2025","2077","tests","test_gpu_compute","","","","test_tensor_operations_benchmark","Benchmark GPU tensor arithmetic (element-wise ops)."
"skipped","Thu Oct 30 04:30:42 UTC 2025","Thu Oct 30 04:30:42 UTC 2025","0","tests","test_nvidia_gpu_accelerator","TestNvidiaGPUAccelerator","","","test_max_vram_allocation","Attempt to allocate the maximum available VRAM to test stability and fragmentation."
"passed","Thu Oct 30 04:29:02 UTC 2025","Thu Oct 30 04:29:03 UTC 2025","743","tests","test_cpu_reference","","","","CPU Baseline: 2048x2048 Matmul (0.0 GFLOPS/s)",""
"skipped","Thu Oct 30 04:30:33 UTC 2025","Thu Oct 30 04:30:33 UTC 2025","0","tests","test_multi_gpu","","","","test_cuml_linear_regression",""
"skipped","Thu Oct 30 04:30:50 UTC 2025","Thu Oct 30 04:30:50 UTC 2025","0","tests","test_nvidia_tensorrt_cudnn","TestNvidiaTensorRTandCuDNN","","","test_tensorrt_inference_speedup",""
"passed","Thu Oct 30 04:30:11 UTC 2025","Thu Oct 30 04:30:12 UTC 2025","1540","tests","test_gpu_transformer","","","","test_transformer_inference","Benchmark transformer encoder inference on GPU."
"skipped","Thu Oct 30 04:28:56 UTC 2025","Thu Oct 30 04:28:56 UTC 2025","0","tests","test_amd_gpu_accelerator","TestAmdGPUAccelerator","","","test_mixed_precision_bf16_speedup",""
"skipped","Thu Oct 30 04:30:29 UTC 2025","Thu Oct 30 04:30:29 UTC 2025","0","tests","test_intel_gpu_accelerator","TestIntelGPUAccelerator","","","test_kernel_launch_overhead",""
"passed","Thu Oct 30 04:29:48 UTC 2025","Thu Oct 30 04:30:10 UTC 2025","22192","tests","test_gpu_stress","","","","test_gpu_stress",""
